feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
3,0,48.0,-20.0,1.9,15.0,10.0,292.0,305.0,306.0,333.0,49.3,82.7,32.9,0,0,14.6,-110.45315789473683,8.822222222222223,119,beauce_5_sa_019
3,1,94.0,-11.0,2.3,15.2,10.0,237.0,267.0,302.0,331.0,86.5,90.3,85.0,0,0,20.365263157894734,29.207894736842103,8.918888888888889,120,beauce_5_sa_020
3,2,89.0,-34.0,2.9,16.9,23.0,298.0,299.0,300.0,344.0,90.3,54.1,20.6,0,0,12.57684210526316,-27.568421052631574,8.863333333333333,121,beauce_5_sa_021
0,1,60.0,-39.0,1.5,13.5,10.0,259.0,383.0,393.0,336.0,10.0,10.0,10.0,0,0,0.6663157894736842,-97.82263157894738,5.498888888888889,122,beauce_5_sa_022
1,0,78.0,-20.0,2.2,15.0,10.0,108.0,383.0,393.0,6.0,70.2,10.0,10.0,0,0,5.6468421052631586,-113.64,8.16777777777778,123,beauce_5_sa_023
0,0,81.0,-20.0,3.6,15.0,10.0,259.0,383.0,393.0,336.0,10.0,10.0,10.0,0,0,1.823157894736842,-113.32473684210528,5.312222222222222,124,beauce_5_sa_024
2,2,51.0,-29.0,2.5,2.2,13.4,267.0,268.0,393.0,330.0,33.8,26.4,10.0,0,0,1.59,-57.86578947368421,7.72111111111111,125,beauce_5_sa_025
2,0,73.0,-20.0,1.3,15.0,10.0,214.0,263.0,393.0,341.0,92.4,89.8,10.0,0,0,6.8999999999999995,-34.12736842105264,8.96,126,beauce_5_sa_026
1,0,96.0,-20.0,2.3,15.0,10.0,183.0,383.0,393.0,344.0,45.1,10.0,10.0,0,0,2.4747368421052633,-96.17526315789472,7.59111111111111,127,beauce_5_sa_027
1,0,52.0,-20.0,2.8,15.0,10.0,200.0,383.0,393.0,330.0,83.5,10.0,10.0,0,0,1.7542105263157894,-76.3978947368421,8.742222222222223,128,beauce_5_sa_028
1,1,58.0,-4.0,1.4,21.8,10.0,313.0,383.0,393.0,326.0,66.0,10.0,10.0,0,0,5.017894736842106,-44.577894736842104,7.426666666666667,129,beauce_5_sa_029
2,1,79.0,-38.0,3.9,13.9,10.0,209.0,297.0,393.0,17.0,33.9,12.7,10.0,0,0,1.5257894736842106,-90.92157894736842,7.69,130,beauce_5_sa_030
3,1,105.0,-9.0,3.5,24.3,10.0,142.0,286.0,287.0,9.0,74.8,87.1,10.9,0,0,9.217894736842103,-23.31000000000001,8.991111111111111,131,beauce_5_sa_031
3,1,60.0,-33.0,3.7,5.1,10.0,148.0,247.0,312.0,332.0,68.0,71.2,34.2,0,0,5.862105263157895,-7.483684210526317,8.994444444444445,132,beauce_5_sa_032
2,0,77.0,-20.0,1.8,15.0,10.0,197.0,292.0,393.0,12.0,10.0,64.3,10.0,0,0,5.652631578947369,-159.32947368421054,8.262222222222222,133,beauce_5_sa_033
1,0,66.0,-20.0,4.0,15.0,10.0,179.0,383.0,393.0,362.0,51.7,10.0,10.0,0,0,2.1510526315789473,-91.0542105263158,7.752222222222222,134,beauce_5_sa_034
3,0,48.0,-20.0,1.9,15.0,10.0,226.0,311.0,312.0,362.0,24.9,68.3,69.6,0,0,15.381052631578948,-161.44105263157894,8.874444444444444,135,beauce_5_sa_035
0,1,80.0,-25.0,3.9,6.3,10.0,259.0,383.0,393.0,4.0,10.0,10.0,10.0,0,0,1.1789473684210523,-132.01894736842107,5.402222222222222,136,beauce_5_sa_036
2,0,97.0,-20.0,1.2,15.0,10.0,228.0,322.0,393.0,9.0,18.4,95.4,10.0,0,0,9.148947368421052,-78.79894736842105,8.559999999999999,137,beauce_5_sa_037
0,1,71.0,-36.0,1.3,22.8,10.0,259.0,383.0,393.0,16.0,10.0,10.0,10.0,0,0,1.1505263157894736,-154.51894736842107,5.373333333333333,138,beauce_5_sa_038
3,0,90.0,-20.0,2.7,15.0,10.0,263.0,264.0,265.0,8.0,22.5,25.0,87.5,0,0,7.307368421052632,-82.21894736842106,8.878888888888888,139,beauce_5_sa_039
