parametre,Sobol_S1,Sobol_ST,sortie,region,n_region,Q2_cv,status,part_des_points
type_f3_2,0.011829433579624678,0.10316756098287772,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Date_Semis,0.005442881567026983,0.03879780217671801,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Delta_PREPA_Semis,0.0030916298647156388,0.013030738213955118,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Date_F1,0.0,0.0,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Date_F2,0.0001815277956919909,0.0009499910568501812,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Date_F3,0.0,0.0007656234812174427,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Date_Recolte,0.0800021795673536,0.09537255633095215,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Dose_F1_1,0.0,0.0002868049488739353,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Dose_F1_2,0.0,0.000680559341133993,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Dose_F2_1,0.00016611988028552394,0.00023938026913288495,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Dose_F2_2,7.259426047328434e-05,0.0003359925020059336,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Dose_F3_1,0.0,0.0011872152525315074,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
Dose_F3_2,0.0001822043215386865,0.0018130029564433817,N_lixi,R03,1283,0.8585029496115981,ok,0.1283
n_ferti,6.412609731080276e-06,0.0002912859145398281,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
has_prepa,0.00016630996146096454,0.08395839560387508,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
nb_prepa,0.00016630996146096454,0.0009585281165925559,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
prepa_1,0.00016630996146096454,0.000958528116586734,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
nb_f1,0.00010394372591303233,0.00010394372591303233,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
type_f1_1,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
nb_f2,0.00010394372591303233,0.7473988647606765,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
type_f2_1,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
nb_f3,0.00010394372591303233,0.00029955160567711844,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
type_f3_1,0.0,6.910994979440359e-05,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
prepa_2,0.00016630996146096454,0.08396215497831641,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
type_f1_2,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
type_f2_2,0.0,0.0,N_lixi,R04,1115,0.8793191276657881,ok,0.1115
