sortie,parametre_A,parametre_B,R2_A,R2_B,R2_additif,R2_interaction,R2_global,p_value_additif,p_value_global,n,n_A,n_B,n_cellules,df_model_global,df_resid_global
rdt,type_f2_2,Dose_F2_1,0.00029318682449008094,0.0007727274197186274,0.0007741246628518716,0.00021248418731101282,0.0009866088501628845,0.1712985694704793,0.3618884967474877,9996,4,3,10,9.0,9986.0
rdt,type_f1_2,Dose_F2_2,8.57195262245418e-05,4.5007209750985655e-05,0.00012219776107347258,0.0008594376382884406,0.0009816353993619131,0.8745357364358815,0.19925604562080493,10000,4,2,8,7.0,9992.0
rdt,Date_F1,Dose_F1_2,0.0002616503214622498,4.9539639655470464e-08,0.0002630157948126932,0.0007054915129645067,0.0009685073077772,0.6216148528565124,0.20717249234831137,10000,4,2,8,7.0,9992.0
rdt,nb_f2,type_f3_1,0.00022735231906161434,0.0005398501670989884,0.0008658094136817507,8.905269620962386e-05,0.0009548621098913745,0.07022923680813116,0.21567147850472618,10000,2,4,8,7.0,9992.0
rdt,type_f1_1,nb_f3,0.0007008623127864762,0.00019854683545575681,0.0009033860871551225,2.154621530181533e-05,0.0009249323024569378,0.06024713413131476,0.2353028861502913,10000,4,2,8,7.0,9992.0
rdt,type_f1_1,Dose_F3_2,0.0007008623127864762,0.00014489256622967757,0.0008515881217003862,6.037549781423568e-05,0.0009119636195146219,0.07440067058896728,0.24424038513884483,10000,4,2,8,7.0,9992.0
rdt,n_ferti,Dose_F1_1,0.00018381051368310098,8.095593050912463e-05,0.00033165666623236056,0.0005566831562853203,0.0008883398225176808,0.768337958110649,0.7131244570540045,10000,4,4,13,12.0,9987.0
rdt,type_f3_1,type_f1_2,0.0005398501670989884,8.57195262245418e-05,0.0006428240245160977,0.0002355958113228196,0.0008784198358389173,0.3770838489183215,0.8887511264728007,10000,4,4,16,15.0,9984.0
rdt,nb_f1,Dose_F2_1,2.4160073824904214e-05,0.0007727274197186274,0.0007949136895712972,8.165347585908922e-05,0.0008765671654303864,0.047066689929481674,0.11878815797238612,10000,2,3,6,5.0,9994.0
rdt,Dose_F2_1,Dose_F3_1,0.0007727274197186274,3.624659605945444e-06,0.0007761085935545919,9.813696090110735e-05,0.0008742455544556993,0.051209434860030656,0.11979317422942445,10000,3,2,6,5.0,9994.0
rdt,type_f3_1,Dose_F1_2,0.0005398501670989884,4.9539639655470464e-08,0.0005402756215844295,0.00031579867473341405,0.0008560742963178436,0.24847405854843985,0.2858313656076399,10000,4,2,8,7.0,9992.0
rdt,type_f2_2,Dose_F1_2,0.00029318682449008094,4.9539639655470464e-08,0.0002937882938821579,0.0005464952268026124,0.0008402835206847703,0.568399514808035,0.29850414596990543,10000,4,2,8,7.0,9992.0
rdt,Date_F3,Dose_F2_1,4.218163027702773e-06,0.0007727274197186274,0.0007775346617827639,6.136129866229911e-05,0.000838895960445063,0.05088322740121062,0.1360746405731299,10000,2,3,6,5.0,9994.0
rdt,type_f2_2,Date_F2,0.00029318682449008094,7.672319741600563e-05,0.0004925523078633809,0.0003445673549193895,0.0008371196627827704,0.2951044728156572,0.3010927088647465,10000,4,2,8,7.0,9992.0
rdt,nb_f1,type_f3_2,2.4160073824904214e-05,0.0003906952807433973,0.00043264413994326123,0.0004034628994755707,0.0008361070394188319,0.36372462691477264,0.3019246962474434,10000,2,4,8,7.0,9992.0
rdt,type_f3_2,Dose_F1_1,0.0003906952807433973,8.095593050912463e-05,0.0004603806639311703,0.0003695348398035092,0.0008299155037346795,0.5956988629770215,0.9114244137129102,10000,4,4,16,15.0,9984.0
rdt,Dose_F2_1,Dose_F2_2,0.0007727274197186274,4.5007209750985655e-05,0.0008086126685576955,1.9900669618322375e-05,0.0008285133381760179,0.0442561110926894,0.14122062473530478,10000,3,2,6,5.0,9994.0
rdt,nb_f3,Date_F1,0.00019854683545575681,0.0002616503214622498,0.0004375799478573139,0.00038850653608690777,0.0008260864839442217,0.35762680336530905,0.31024914204280457,10000,2,4,8,7.0,9992.0
